t,     mx,           my,            mz
6.88e-10, -0.45260761, 0.7163259, 0.53081787
6.9e-10, -0.44261415, 0.74440017, 0.49971848
6.92e-10, -0.43330276, 0.77116219, 0.4661872
6.94e-10, -0.4247971, 0.79617114, 0.4306374
6.96e-10, -0.4171114, 0.81910636, 0.39356125
6.98e-10, -0.41018925, 0.83978616, 0.35543032
7e-10, -0.40394057, 0.85814556, 0.31664575
7.02e-10, -0.3982656, 0.8742017, 0.27752719
7.04e-10, -0.39306692, 0.8880228, 0.23832139
7.06e-10, -0.38825403, 0.89970564, 0.19921722
7.08e-10, -0.38374452, 0.90936076, 0.16036078
7.1e-10, -0.37946367, 0.91710372, 0.12186771
7.12e-10, -0.37534373, 0.92305034, 0.083832764
7.14e-10, -0.37132323, 0.92731442, 0.046336632
7.16e-10, -0.36734657, 0.93000693, 0.0094508552
7.18e-10, -0.36336376, 0.93123613, -0.026759018
7.2e-10, -0.35933046, 0.93110792, -0.062231289
7.22e-10, -0.35520826, 0.92972641, -0.096906999
7.24e-10, -0.35096493, 0.92719444, -0.13072964
7.26e-10, -0.34657488, 0.92361377, -0.16364538
7.28e-10, -0.34201925, 0.91908523, -0.19560407
7.3e-10, -0.33728595, 0.91370839, -0.22656043
7.32e-10, -0.33236898, 0.9075812, -0.25647558
7.34e-10, -0.3272675, 0.90079927, -0.28531829
7.36e-10, -0.32198445, 0.89345535, -0.31306585
7.38e-10, -0.31652478, 0.88563871, -0.33970443
7.4e-10, -0.31089384, 0.87743478, -0.36522863
7.42e-10, -0.3050958, 0.86892505, -0.38964065
7.44e-10, -0.29913278, 0.860187, -0.41294889
7.46e-10, -0.29300392, 0.85129419, -0.43516688
7.48e-10, -0.2867053, 0.84231633, -0.45631194
7.5e-10, -0.28022936, 0.8333192, -0.47640476
7.52e-10, -0.27356526, 0.82436447, -0.49546874
7.54e-10, -0.26669869, 0.81550918, -0.51353019
7.56e-10, -0.25961184, 0.80680508, -0.53061864
7.58e-10, -0.25228369, 0.79829752, -0.54676747
7.6e-10, -0.2446904, 0.79002409, -0.56201474
7.62e-10, -0.23680612, 0.78201281, -0.57640428
7.64e-10, -0.22860456, 0.77428017, -0.58998649
7.66e-10, -0.22006154, 0.76682893, -0.6028192
7.68e-10, -0.21115846, 0.75964625, -0.61496781
7.7e-10, -0.20188731, 0.75270256, -0.62650437
7.72e-10, -0.19225613, 0.74595202, -0.6375054
7.74e-10, -0.18229491, 0.73933553, -0.64804752
7.76e-10, -0.17205982, 0.73278645, -0.65820166
7.78e-10, -0.16163432, 0.72623931, -0.66802617
7.8e-10, -0.15112589, 0.71964001, -0.67756033
7.82e-10, -0.14065774, 0.71295506, -0.68682049
7.84e-10, -0.13035709, 0.70617764, -0.69579991
7.86e-10, -0.12034265, 0.69932866, -0.70447279
7.88e-10, -0.11071421, 0.6924528, -0.71280111
7.9e-10, -0.10154631, 0.68561129, -0.72074249
7.92e-10, -0.092886524, 0.67887338, -0.72825703
7.94e-10, -0.084757302, 0.67230881, -0.73531195
7.96e-10, -0.077160014, 0.6659822, -0.74188404
7.98e-10, -0.070079708, 0.65994961, -0.74796002
8e-10, -0.063489772, 0.65425714, -0.75353558
